title,description,publishedAt,source,url,lat,lon
"'Dark moment for America': Trump accuses ""radical left"" in address to nation after Charlie Kirk's death",Donald Trump called the killing of Charlie Kirk a dark moment. He accused the radical left of inciting violence. Trump paid tribute to Kirk as a patriot. He expressed condolences to Kirk's family. Kirk was fatally shot in Utah. Trump condemned the demonizatio…,2025-09-11T03:25:54Z,The Times of India,https://economictimes.indiatimes.com/news/international/global-trends/dark-moment-for-america-trump-accuses-radical-left-in-address-to-nation-after-charlie-kirks-death/articleshow/123820967.cms,,
‘No person is more responsible for it than Donald Trump’: US President’s niece Mary blames him for the political climate behind Charlie Kirk’s murder,"Following Charlie Kirk's assassination, Mary Trump accused Donald Trump of inciting political violence. She cited his rhetoric and pardons as evidence. President Trump called Kirk a martyr and blamed the radical left. Mary Trump highlighted the Republican Par…",2025-09-12T09:21:12Z,The Times of India,https://economictimes.indiatimes.com/news/international/us/no-person-is-more-responsible-for-it-than-donald-trump-us-presidents-niece-mary-blames-him-for-the-political-climate-behind-charlie-kirks-murder/articleshow/123848551.cms,,
Nation on edge: Experts warn of 'vicious spiral' in political violence after Kirk killing,"The assassination of Charlie Kirk, a prominent right-wing influencer, has ignited fears of escalating political violence in the U.S. Experts cite economic insecurity, demographic shifts, and inflammatory rhetoric as contributing factors. With politically moti…",2025-09-11T01:41:42Z,The Times of India,https://economictimes.indiatimes.com/news/international/global-trends/nation-on-edge-experts-warn-of-vicious-spiral-in-political-violence-after-kirk-killing/articleshow/123819750.cms,,
"Viral video shows ‘WWE match’ at Walmart, mob of women, one holding a baby, beat an employee","A Walmart employee, Tikerra Hicks, was attacked in Indianapolis. The incident occurred on August 29, 2025. A group of women assaulted her in a checkout aisle. The attack may be a case of mistaken identity. Hicks stated it was related to a past accusation. Soc…",2025-09-01T08:39:27Z,The Times of India,https://economictimes.indiatimes.com/news/international/us/viral-video-shows-wwe-match-at-walmart-mob-of-women-one-holding-a-baby-beat-an-employee/articleshow/123630702.cms,,
"Robin Westman’s disturbing manifesto video preceded Minneapolis Annunciation Church shooting, killing two children","In Minneapolis, Robin Westman attacked Annunciation Catholic Church. The shooting occurred during a Mass. Two children died, and seventeen others sustained injuries. Westman, who had a history of mental health issues, posted a manifesto online. The manifesto …",2025-08-27T22:27:33Z,The Times of India,https://economictimes.indiatimes.com/news/international/us/robin-westmans-disturbing-manifesto-video-preceded-minneapolis-annunciation-church-shooting-killing-two-children/articleshow/123552368.cms,,
"EU says Israel's Gaza City assault spells 'death', 'destruction'","The European Union has warned Israel that its ground assault on Gaza City will exacerbate the already catastrophic humanitarian situation, leading to more death, destruction, and displacement. Brussels is expected to propose measures against Israel, including…",2025-09-16T18:39:07Z,The Times of India,https://economictimes.indiatimes.com/news/international/world-news/eu-says-israels-gaza-city-assault-spells-death-destruction/articleshow/123928831.cms,,
Trump's close ally Charlie Kirk fatally shot in act of 'political assassination' at Utah college,"Conservative activist Charlie Kirk was fatally shot at a Utah college event, prompting a political assassination claim by the governor. The shooting occurred during a debate on gun violence, sparking bipartisan condemnation and raising concerns about escalati…",2025-09-11T00:44:34Z,The Times of India,https://economictimes.indiatimes.com/news/international/global-trends/trumps-close-ally-charlie-kirk-fatally-shot-in-act-of-political-assassination-at-utah-college/articleshow/123819466.cms,,
"How serious is Rudy Giuliani's injuries, is he out of danger? Here's what reports say","Rudy Giuliani, the former New York City mayor, is recovering in a New Hampshire hospital after a car accident on Saturday night. The accident occurred after Giuliani assisted a woman in a domestic violence situation on Interstate 93. He sustained a broken ver…",2025-09-01T12:10:12Z,The Times of India,https://economictimes.indiatimes.com/news/international/us/how-serious-is-rudy-giulianis-injuries-is-he-out-of-danger-heres-what-reports-say/articleshow/123634996.cms,,
"Trump hints at motive in Charlie Kirk killing, calls shooter ‘animal’","Conservative activist Charlie Kirk was fatally shot at Utah Valley University on Sept. 10. Investigators recovered a rifle and evidence but have not confirmed a motive. President Donald Trump called the shooter ‘an animal’ and hinted at knowing the motive, wh…",2025-09-12T01:32:33Z,The Times of India,https://economictimes.indiatimes.com/news/international/us/trump-hints-at-motive-in-charlie-kirk-killing-calls-shooter-animal/articleshow/123840992.cms,,
Yordanis Cobos-Martinez criminal history: Dallas motel beheading suspect's violent past,"Yordanis Cobos-Martinez, 37, charged with beheading Dallas motel manager, has extensive criminal history including carjacking, assault charges. Cuban immigrant was released from ICE custody in January, 2025 after Cuba refused repatriation due to criminal reco…",2025-09-12T04:49:04Z,The Times of India,https://economictimes.indiatimes.com/news/international/us/yordanis-cobos-martinez-criminal-history-dallas-motel-beheading-suspects-violent-past/articleshow/123843235.cms,,
